tecnico,,tempo
Abel Ferreira,16,70
Abel Ferreira,20,56
Abel Ferreira,38,69
Abel Ferreira,60,56
Abel Ferreira,91,68
Abel Ferreira,96,62
Abel Ferreira,118,60
Abel Ferreira,139,59
Abel Ferreira,160,45
Abel Ferreira,170,62
Abel Ferreira,189,59
Abel Ferreira,220,62
Abel Ferreira,238,58
Abel Ferreira,254,69
Abel Ferreira,273,67
Abel Ferreira,304,64
Abel Ferreira,324,67
Abel Ferreira,338,72
Abel Ferreira,376,66
Abel Ferreira,385,60
Abel Ferreira,411,73
Abel Ferreira,427,68
Abel Ferreira,449,68
Abel Ferreira,460,66
Abel Ferreira,491,60
Abel Ferreira,507,57
Abel Ferreira,527,45
Abel Ferreira,573,45
Abel Ferreira,585,45
Abel Ferreira,608,79
Abel Ferreira,623,60
Abel Ferreira,642,65
Abel Ferreira,662,76
Abel Ferreira,674,76
Abel Ferreira,695,61
Abel Ferreira,709,70
Abel Ferreira,733,72
Abel Ferreira,744,[]
Alberto Valentim,0,70
Alberto Valentim,235,58
Alberto Valentim,255,62
Alberto Valentim,277,75
Alberto Valentim,287,79
Alberto Valentim,301,43
Alberto Valentim,318,66
Alberto Valentim,356,71
Alberto Valentim,364,63
Alberto Valentim,605,51
Alberto Valentim,626,59
Alberto Valentim,647,73
Alberto Valentim,675,72
Alberto Valentim,692,71
Alberto Valentim,719,45
Alberto Valentim,727,74
António Oliveira,42,81
António Oliveira,59,78
António Oliveira,77,76
António Oliveira,98,83
António Oliveira,123,78
António Oliveira,137,75
António Oliveira,161,56
António Oliveira,180,70
António Oliveira,212,77
António Oliveira,397,70
António Oliveira,403,66
António Oliveira,435,45
António Oliveira,447,63
António Oliveira,466,57
António Oliveira,486,65
António Oliveira,511,62
António Oliveira,531,51
António Oliveira,550,62
António Oliveira,563,70
Bruno Lopes,538,54
Cauan,33,59
Cauan,418,67
Cuca,3,62
Cuca,22,75
Cuca,45,69
Cuca,74,89
Cuca,90,73
Cuca,119,45
Cuca,131,64
Cuca,147,78
Cuca,195,62
Cuca,217,60
Cuca,233,62
Cuca,245,45
Cuca,268,67
Cuca,288,69
Cuca,296,84
Cuca,302,78
Cuca,328,74
Cuca,346,67
Cuca,361,45
Cuca,398,83
Cuca,409,54
Cuca,433,53
Cuca,442,58
Cuca,462,66
Cuca,479,63
Cuca,488,56
Cuca,521,45
Cuca,546,72
Cuca,554,59
Cuca,568,61
Cuca,586,61
Cuca,606,64
Cuca,637,69
Cuca,658,60
Cuca,698,79
Cuca,718,59
Cuca,734,67
Cuca,754,67
