tecnico,,tempo
Abel Ferreira,16,73
Abel Ferreira,20,85
Abel Ferreira,38,[]
Abel Ferreira,60,56
Abel Ferreira,91,76
Abel Ferreira,96,87
Abel Ferreira,118,75
Abel Ferreira,139,67
Abel Ferreira,160,45
Abel Ferreira,170,85
Abel Ferreira,189,60
Abel Ferreira,220,63
Abel Ferreira,238,80
Abel Ferreira,254,79
Abel Ferreira,273,77
Abel Ferreira,304,69
Abel Ferreira,324,67
Abel Ferreira,338,77
Abel Ferreira,376,89
Abel Ferreira,385,61
Abel Ferreira,411,[]
Abel Ferreira,427,76
Abel Ferreira,449,68
Abel Ferreira,460,77
Abel Ferreira,491,74
Abel Ferreira,507,81
Abel Ferreira,527,45
Abel Ferreira,573,80
Abel Ferreira,585,59
Abel Ferreira,608,80
Abel Ferreira,623,69
Abel Ferreira,642,85
Abel Ferreira,662,84
Abel Ferreira,674,84
Abel Ferreira,695,71
Abel Ferreira,709,83
Abel Ferreira,733,80
Abel Ferreira,744,[]
Alberto Valentim,0,82
Alberto Valentim,235,67
Alberto Valentim,255,70
Alberto Valentim,277,80
Alberto Valentim,287,89
Alberto Valentim,301,63
Alberto Valentim,318,79
Alberto Valentim,356,81
Alberto Valentim,364,85
Alberto Valentim,605,77
Alberto Valentim,626,68
Alberto Valentim,647,79
Alberto Valentim,675,[]
Alberto Valentim,692,81
Alberto Valentim,719,72
Alberto Valentim,727,79
António Oliveira,42,87
António Oliveira,59,84
António Oliveira,77,86
António Oliveira,98,[]
António Oliveira,123,83
António Oliveira,137,76
António Oliveira,161,56
António Oliveira,180,78
António Oliveira,212,80
António Oliveira,397,81
António Oliveira,403,79
António Oliveira,435,77
António Oliveira,447,86
António Oliveira,466,68
António Oliveira,486,84
António Oliveira,511,70
António Oliveira,531,74
António Oliveira,550,71
António Oliveira,563,78
Bruno Lopes,538,88
Cauan,33,84
Cauan,418,79
Cuca,3,70
Cuca,22,80
Cuca,45,80
Cuca,74,89
Cuca,90,80
Cuca,119,80
Cuca,131,78
Cuca,147,83
Cuca,195,72
Cuca,217,75
Cuca,233,76
Cuca,245,63
Cuca,268,77
Cuca,288,69
Cuca,296,89
Cuca,302,83
Cuca,328,84
Cuca,346,87
Cuca,361,57
Cuca,398,89
Cuca,409,70
Cuca,433,68
Cuca,442,68
Cuca,462,86
Cuca,479,80
Cuca,488,84
Cuca,521,75
Cuca,546,87
Cuca,554,83
Cuca,568,84
Cuca,586,73
Cuca,606,81
Cuca,637,83
Cuca,658,61
Cuca,698,86
Cuca,718,72
Cuca,734,85
Cuca,754,76
Dado Cavalcanti,1,85
Dado Cavalcanti,25,70
Dado Cavalcanti,39,88
Dado Cavalcanti,55,89
Dado Cavalcanti,68,75
Dado Cavalcanti,88,86
Dado Cavalcanti,112,78
Dado Cavalcanti,132,84
Dado Cavalcanti,153,79
Dado Cavalcanti,391,72
Dado Cavalcanti,412,75
Dado Cavalcanti,440,85
Dado Cavalcanti,459,85
Dado Cavalcanti,481,84
Dado Cavalcanti,499,84
