tecnico,,tempo
Gustavo Florentín,327,82
Gustavo Florentín,357,87
Gustavo Florentín,370,83
Gustavo Florentín,560,86
Gustavo Florentín,575,59
Gustavo Florentín,601,74
Gustavo Florentín,630,81
Gustavo Florentín,653,67
Gustavo Florentín,656,62
Gustavo Florentín,673,86
Gustavo Florentín,696,81
Gustavo Florentín,725,[]
Gustavo Florentín,749,58
Guto Ferreira,4,71
Guto Ferreira,32,72
Guto Ferreira,53,79
Guto Ferreira,61,59
Guto Ferreira,84,80
Guto Ferreira,106,83
Guto Ferreira,135,70
Guto Ferreira,144,77
Guto Ferreira,162,78
Guto Ferreira,243,79
Guto Ferreira,271,62
Guto Ferreira,274,70
Guto Ferreira,297,75
Guto Ferreira,335,81
Guto Ferreira,343,77
Guto Ferreira,354,78
Guto Ferreira,360,76
Guto Ferreira,392,78
Guto Ferreira,406,81
Guto Ferreira,420,86
Guto Ferreira,453,71
Guto Ferreira,473,84
Guto Ferreira,483,70
Guto Ferreira,504,75
Guto Ferreira,529,62
Guto Ferreira,551,62
Guto Ferreira,615,71
Guto Ferreira,633,72
Guto Ferreira,659,59
Guto Ferreira,688,68
Guto Ferreira,707,67
Guto Ferreira,729,67
Guto Ferreira,753,79
Hernán Crespo,2,73
Hernán Crespo,28,59
Hernán Crespo,46,76
Hernán Crespo,83,62
Hernán Crespo,101,77
Hernán Crespo,107,69
Hernán Crespo,127,[]
Hernán Crespo,148,69
Hernán Crespo,199,79
Hernán Crespo,203,81
Hernán Crespo,206,85
Hernán Crespo,231,84
Hernán Crespo,390,76
Hernán Crespo,402,58
Hernán Crespo,423,71
Hernán Crespo,441,72
Hernán Crespo,452,72
Hernán Crespo,474,78
Hernán Crespo,501,75
Hernán Crespo,517,76
Hernán Crespo,544,72
Hernán Crespo,552,77
Hernán Crespo,571,45
Hernán Crespo,598,81
Hernán Crespo,621,63
Jair Ventura,26,34
Jair Ventura,52,64
Jair Ventura,79,58
Jair Ventura,95,45
Jair Ventura,110,73
Jair Ventura,133,60
Jair Ventura,265,85
Jair Ventura,279,80
Jair Ventura,307,86
Jair Ventura,325,84
Jair Ventura,350,69
Jair Ventura,371,65
Jair Ventura,396,80
Jair Ventura,408,61
Jair Ventura,425,89
Jair Ventura,439,74
Jair Ventura,446,62
Jair Ventura,484,63
Jair Ventura,505,74
Jair Ventura,697,75
Jair Ventura,708,73
Jair Ventura,716,81
Jair Ventura,745,72
James Freitas,750,72
Jorginho,82,66
Jorginho,103,59
Jorginho,116,52
Jorginho,126,66
Jorginho,138,67
Jorginho,151,79
Jorginho,156,70
Jorginho,178,60
Jorginho,202,45
Jorginho,214,61
Jorginho,241,67
Jorginho,250,60
Jorginho,285,73
Jorginho,289,70
Jorginho,320,78
Jorginho,353,55
Jorginho,366,57
Jorginho,467,73
Jorginho,490,67
Jorginho,508,88
Jorginho,540,59
Jorginho,556,67
Jorginho,564,57
Jorginho,593,45
Jorginho,610,65
Jorginho,640,65
Jorginho,648,64
Jorginho,678,58
Jorginho,693,78
Jorginho,715,74
Jorginho,736,63
Jorginho,755,89
Juan Pablo Vojvoda,14,71
Juan Pablo Vojvoda,27,64
Juan Pablo Vojvoda,41,79
Juan Pablo Vojvoda,66,64
Juan Pablo Vojvoda,89,76
Juan Pablo Vojvoda,105,63
Juan Pablo Vojvoda,120,85
Juan Pablo Vojvoda,152,69
Juan Pablo Vojvoda,176,63
Juan Pablo Vojvoda,188,72
Juan Pablo Vojvoda,215,79
Juan Pablo Vojvoda,236,59
Juan Pablo Vojvoda,247,82
Juan Pablo Vojvoda,267,73
Juan Pablo Vojvoda,305,75
Juan Pablo Vojvoda,323,73
Juan Pablo Vojvoda,329,83
Juan Pablo Vojvoda,359,74
Juan Pablo Vojvoda,373,67
Juan Pablo Vojvoda,383,65
Juan Pablo Vojvoda,415,78
Juan Pablo Vojvoda,428,71
Juan Pablo Vojvoda,438,86
Juan Pablo Vojvoda,457,57
Juan Pablo Vojvoda,487,87
Juan Pablo Vojvoda,515,71
Juan Pablo Vojvoda,519,72
Juan Pablo Vojvoda,539,65
Juan Pablo Vojvoda,559,67
Juan Pablo Vojvoda,578,74
Juan Pablo Vojvoda,591,68
Juan Pablo Vojvoda,609,77
Juan Pablo Vojvoda,632,70
Juan Pablo Vojvoda,660,81
Juan Pablo Vojvoda,671,68
Juan Pablo Vojvoda,691,64
Juan Pablo Vojvoda,721,79
Juan Pablo Vojvoda,746,64
Lisca,15,63
Lisca,387,79
Lisca,401,53
Luiz Felipe Scolari,97,66
Luiz Felipe Scolari,117,61
Luiz Felipe Scolari,145,74
Luiz Felipe Scolari,158,83
Luiz Felipe Scolari,169,74
Luiz Felipe Scolari,187,72
Luiz Felipe Scolari,221,63
Luiz Felipe Scolari,230,70
Luiz Felipe Scolari,489,89
Luiz Felipe Scolari,509,75
Luiz Felipe Scolari,528,85
Luiz Felipe Scolari,536,76
Luiz Felipe Scolari,581,81
Luiz Felipe Scolari,592,80
Luiz Felipe Scolari,620,70
Luiz Fernando Iubel,75,60
Luiz Fernando Iubel,393,74
Luiz Fernando Iubel,413,64
Luiz Fernando Iubel,426,68
Luiz Fernando Iubel,444,71
Marcelo Cabo,309,70
Marcelo Cabo,331,62
Marcelo Cabo,336,59
Marcelo Cabo,349,69
