tecnico;tempo
Hernán Crespo;45
Hernán Crespo;45
Hernán Crespo;45
Hernán Crespo;45
Hernán Crespo;59
Hernán Crespo;61
Hernán Crespo;57
Hernán Crespo;45
Hernán Crespo;45
Hernán Crespo;58
Hernán Crespo;79
Hernán Crespo;54
Hernán Crespo;45
Hernán Crespo;39
Hernán Crespo;43
Hernán Crespo;62
Hernán Crespo;54
Hernán Crespo;45
Hernán Crespo;56
Hernán Crespo;57
Hernán Crespo;45
Hernán Crespo;57
Hernán Crespo;45
Hernán Crespo;63
Hernán Crespo;40
Jair Ventura;33
Jair Ventura;45
Jair Ventura;45
Jair Ventura;25
Jair Ventura;63
Jair Ventura;60
Jair Ventura;64
Jair Ventura;63
Jair Ventura;61
Jair Ventura;65
Jair Ventura;59
Jair Ventura;19
Jair Ventura;45
Jair Ventura;3
Jair Ventura;45
Jair Ventura;69
Jair Ventura;45
Jair Ventura;63
Jair Ventura;45
Jair Ventura;45
Jair Ventura;57
Jair Ventura;45
Jair Ventura;37
James Freitas;66
Jorginho;32
Jorginho;43
Jorginho;45
Jorginho;45
Jorginho;34
Jorginho;71
Jorginho;45
Jorginho;57
Jorginho;45
Jorginho;45
Jorginho;45
Jorginho;60
Jorginho;59
Jorginho;59
Jorginho;61
Jorginho;45
Jorginho;45
Jorginho;63
Jorginho;45
Jorginho;68
Jorginho;45
Jorginho;45
Jorginho;45
Jorginho;34
Jorginho;65
Jorginho;45
Jorginho;45
Jorginho;45
Jorginho;45
Jorginho;66
Jorginho;63
Jorginho;37
Juan Pablo Vojvoda;59
Juan Pablo Vojvoda;63
Juan Pablo Vojvoda;10
Juan Pablo Vojvoda;56
Juan Pablo Vojvoda;68
Juan Pablo Vojvoda;45
Juan Pablo Vojvoda;59
Juan Pablo Vojvoda;63
Juan Pablo Vojvoda;45
Juan Pablo Vojvoda;66
Juan Pablo Vojvoda;68
Juan Pablo Vojvoda;31
Juan Pablo Vojvoda;62
Juan Pablo Vojvoda;10
Juan Pablo Vojvoda;66
Juan Pablo Vojvoda;45
Juan Pablo Vojvoda;65
Juan Pablo Vojvoda;54
Juan Pablo Vojvoda;45
Juan Pablo Vojvoda;45
Juan Pablo Vojvoda;66
Juan Pablo Vojvoda;45
Juan Pablo Vojvoda;69
Juan Pablo Vojvoda;45
Juan Pablo Vojvoda;71
Juan Pablo Vojvoda;60
Juan Pablo Vojvoda;63
Juan Pablo Vojvoda;9
Juan Pablo Vojvoda;58
Juan Pablo Vojvoda;64
Juan Pablo Vojvoda;61
Juan Pablo Vojvoda;45
Juan Pablo Vojvoda;56
Juan Pablo Vojvoda;51
Juan Pablo Vojvoda;24
Juan Pablo Vojvoda;63
Juan Pablo Vojvoda;71
Juan Pablo Vojvoda;45
Lisca;62
Lisca;62
Lisca;45
Luiz Felipe Scolari;45
Luiz Felipe Scolari;6
Luiz Felipe Scolari;64
Luiz Felipe Scolari;45
Luiz Felipe Scolari;64
Luiz Felipe Scolari;69
Luiz Felipe Scolari;45
Luiz Felipe Scolari;45
Luiz Felipe Scolari;84
Luiz Felipe Scolari;74
Luiz Felipe Scolari;73
Luiz Felipe Scolari;17
Luiz Felipe Scolari;52
Luiz Felipe Scolari;45
Luiz Felipe Scolari;63
Luiz Fernando Iubel;45
Luiz Fernando Iubel;62
Luiz Fernando Iubel;45
Luiz Fernando Iubel;56
Luiz Fernando Iubel;58
Marcelo Cabo;45
Marcelo Cabo;15
Marcelo Cabo;33
Marcelo Cabo;19
Marcelo Cabo;45
Marcelo Cabo;45
Marcelo Cabo;45
Marcelo Cabo;33
Marcão;45
Marcão;65
Marcão;69
Marcão;70
Marcão;45
Marcão;9
Marcão;45
Marcão;59
Marcão;45
Marcão;45
Marcão;67
Marcão;67
Marcão;76
Marcão;26
Marcão;67
Marcão;67
Marcão;67
Marcão;69
Marcão;45
Marcão;31
Marcão;45
Marcão;67
Marcão;45
Marquinhos Santos;68
Marquinhos Santos;14
Marquinhos Santos;64
Marquinhos Santos;64
Marquinhos Santos;66
Marquinhos Santos;45
Marquinhos Santos;57
Marquinhos Santos;75
Marquinhos Santos;61
Marquinhos Santos;59
Marquinhos Santos;45
Marquinhos Santos;65
Marquinhos Santos;69
Marquinhos Santos;57
Marquinhos Santos;75
Marquinhos Santos;27
Marquinhos Santos;62
Marquinhos Santos;65
Marquinhos Santos;75
Marquinhos Santos;78
Marquinhos Santos;62
Marquinhos Santos;64
Marquinhos Santos;65
Marquinhos Santos;44
Marquinhos Santos;45
Marquinhos Santos;59
Marquinhos Santos;56
Marquinhos Santos;26
Marquinhos Santos;63
Marquinhos Santos;45
Marquinhos Santos;36
Marquinhos Santos;45
Marquinhos Santos;20
Marquinhos Santos;60
Marquinhos Santos;58
Marquinhos Santos;51
Marquinhos Santos;66
Marquinhos Santos;14
Maurício Barbieri;62
Maurício Barbieri;45
Maurício Barbieri;58
Maurício Barbieri;72
Maurício Barbieri;48
Maurício Barbieri;63
Maurício Barbieri;66
Maurício Barbieri;45
Maurício Barbieri;70
Maurício Barbieri;45
Maurício Barbieri;74
Maurício Barbieri;77
Maurício Barbieri;26
Maurício Barbieri;11
Maurício Barbieri;45
Maurício Barbieri;75
Maurício Barbieri;64
Maurício Barbieri;57
Maurício Barbieri;64
Maurício Barbieri;64
Maurício Barbieri;67
Maurício Barbieri;64
Maurício Barbieri;76
Maurício Barbieri;61
Maurício Barbieri;60
Maurício Barbieri;68
Maurício Barbieri;67
Maurício Barbieri;45
Maurício Barbieri;60
Maurício Barbieri;45
Maurício Barbieri;64
Maurício Barbieri;53
Maurício Barbieri;66
Maurício Barbieri;45
Maurício Barbieri;58
Maurício Barbieri;45
Maurício Barbieri;61
Maurício Barbieri;81
Maurício Ferreira De Souza;27
Maurício Ferreira De Souza;77
Maurício Ferreira De Souza;70
Maurício Ferreira De Souza;74
Miguel Ángel Ramírez;72
Miguel Ángel Ramírez;45
Mozart Batista;45
Osmar Loss Vieira;51
Osmar Loss Vieira;67
Osmar Loss Vieira;54
Paulo Autuori;58
Paulo Autuori;45
Paulo Autuori;69
Pintado;34
Pintado;45
Pintado;45
Pintado;45
Pintado;45
Pintado;66
Pintado;45
Pintado;45
Pintado;39
Pintado;56
Pintado;45
Pintado;45
Pintado;11
Pintado;45
Renato Gaúcho;45
Renato Gaúcho;59
Renato Gaúcho;59
Renato Gaúcho;63
Renato Gaúcho;63
Renato Gaúcho;45
Renato Gaúcho;61
Renato Gaúcho;56
Renato Gaúcho;73
Renato Gaúcho;59
Renato Gaúcho;45
Renato Gaúcho;23
Renato Gaúcho;63
Renato Gaúcho;73
Renato Gaúcho;82
Renato Gaúcho;62
Renato Gaúcho;23
Renato Gaúcho;60
Renato Gaúcho;65
Renato Gaúcho;66
Renato Gaúcho;45
Renato Gaúcho;62
Renato Gaúcho;66
Renato Gaúcho;34
Renato Gaúcho;69
Renato Gaúcho;45
Roger Machado;61
Roger Machado;65
Roger Machado;58
Roger Machado;68
Roger Machado;18
Roger Machado;69
Roger Machado;73
Roger Machado;61
Roger Machado;10
Roger Machado;23
Roger Machado;66
Roger Machado;45
Roger Machado;50
Roger Machado;63
Roger Machado;80
Rogério Ceni;76
Rogério Ceni;53
Rogério Ceni;72
Rogério Ceni;65
Rogério Ceni;70
Rogério Ceni;57
Rogério Ceni;45
Rogério Ceni;45
Rogério Ceni;45
Rogério Ceni;45
Rogério Ceni;45
Rogério Ceni;66
Rogério Ceni;35
Rogério Ceni;56
Rogério Ceni;45
Rogério Ceni;11
Rogério Ceni;45
Rogério Ceni;54
Rogério Ceni;57
Rogério Ceni;45
Rogério Ceni;64
Sylvinho;59
Sylvinho;7
Sylvinho;74
Sylvinho;62
Sylvinho;58
Sylvinho;65
Sylvinho;45
Sylvinho;61
Sylvinho;64
Sylvinho;63
Sylvinho;31
Sylvinho;45
Sylvinho;8
Sylvinho;45
Sylvinho;45
Sylvinho;70
Sylvinho;63
Sylvinho;45
Sylvinho;56
Sylvinho;68
Sylvinho;78
Sylvinho;60
Sylvinho;58
Sylvinho;53
Sylvinho;45
Sylvinho;64
Sylvinho;77
Sylvinho;38
Sylvinho;64
Sylvinho;45
Sylvinho;63
Sylvinho;69
Sylvinho;55
Sylvinho;58
Sylvinho;45
Sylvinho;23
Sylvinho;57
Sylvinho;59
Thiago Gomes Pacheco;45
Thiago Gomes Pacheco;45
Tiago Nunes;61
Tiago Nunes;71
Tiago Nunes;20
Tiago Nunes;63
Tiago Nunes;58
Tiago Nunes;60
Tiago Nunes;59
Tiago Nunes;45
Tiago Nunes;63
Tiago Nunes;32
Tiago Nunes;64
Tiago Nunes;45
Tiago Nunes;51
Tiago Nunes;8
Tiago Nunes;45
Tiago Nunes;45
Tiago Nunes;45
Tiago Nunes;61
Tiago Nunes;45
Tiago Nunes;45
Tiago Nunes;45
Tiago Nunes;70
Tiago Nunes;18
Tiago Nunes;53
Tiago Nunes;45
Tiago Nunes;63
Tiago Nunes;45
Umberto Lourenço Louzer Filho ;18
Umberto Lourenço Louzer Filho ;61
Umberto Lourenço Louzer Filho ;45
Umberto Lourenço Louzer Filho ;45
Umberto Lourenço Louzer Filho ;67
Umberto Lourenço Louzer Filho ;56
Umberto Lourenço Louzer Filho ;82
Umberto Lourenço Louzer Filho ;64
Umberto Lourenço Louzer Filho ;45
Umberto Lourenço Louzer Filho ;55
Umberto Lourenço Louzer Filho ;60
Umberto Lourenço Louzer Filho ;21
Umberto Lourenço Louzer Filho ;68
Umberto Lourenço Louzer Filho ;55
Umberto Lourenço Louzer Filho ;66
Umberto Lourenço Louzer Filho ;58
Umberto Lourenço Louzer Filho ;20
Vágner Mancini;45
Vágner Mancini;81
Vágner Mancini;60
Vágner Mancini;4
Vágner Mancini;8
Vágner Mancini;69
Vágner Mancini;45
Vágner Mancini;27
Vágner Mancini;64
Vágner Mancini;60
Vágner Mancini;45
Vágner Mancini;45
Vágner Mancini;60
Vágner Mancini;45
Vágner Mancini;69
Vágner Mancini;60
Vágner Mancini;61
Vágner Mancini;74
Vágner Mancini;31
Vágner Mancini;34
Vágner Mancini;35
Vágner Mancini;20
Vágner Mancini;19
Vágner Mancini;45
Vágner Mancini;61
Vágner Mancini;60
Vágner Mancini;72
Vágner Mancini;64
Vágner Mancini;56
Vágner Mancini;34
Vágner Mancini;59
Vágner Mancini;45
Vágner Mancini;67
Vágner Mancini;22
Vágner Mancini;54
