tecnico,,tempo
Abel Ferreira,16,80
Abel Ferreira,20,[]
Abel Ferreira,38,[]
Abel Ferreira,60,77
Abel Ferreira,91,77
Abel Ferreira,96,87
Abel Ferreira,118,89
Abel Ferreira,139,72
Abel Ferreira,160,61
Abel Ferreira,170,85
Abel Ferreira,189,72
Abel Ferreira,220,85
Abel Ferreira,238,86
Abel Ferreira,254,79
Abel Ferreira,273,89
Abel Ferreira,304,76
Abel Ferreira,324,75
Abel Ferreira,338,[]
Abel Ferreira,376,89
Abel Ferreira,385,75
Abel Ferreira,411,[]
Abel Ferreira,427,76
Abel Ferreira,449,89
Abel Ferreira,460,82
Abel Ferreira,491,74
Abel Ferreira,507,86
Abel Ferreira,527,68
Abel Ferreira,573,85
Abel Ferreira,585,67
Abel Ferreira,608,81
Abel Ferreira,623,77
Abel Ferreira,642,85
Abel Ferreira,662,84
Abel Ferreira,674,87
Abel Ferreira,695,82
Abel Ferreira,709,[]
Abel Ferreira,733,84
Abel Ferreira,744,[]
Alberto Valentim,0,[]
Alberto Valentim,235,82
Alberto Valentim,255,80
Alberto Valentim,277,[]
Alberto Valentim,287,[]
Alberto Valentim,301,63
Alberto Valentim,318,79
Alberto Valentim,356,[]
Alberto Valentim,364,85
Alberto Valentim,605,77
Alberto Valentim,626,74
Alberto Valentim,647,89
Alberto Valentim,675,[]
Alberto Valentim,692,81
Alberto Valentim,719,72
Alberto Valentim,727,79
António Oliveira,42,[]
António Oliveira,59,[]
António Oliveira,77,[]
António Oliveira,98,[]
António Oliveira,123,83
António Oliveira,137,87
António Oliveira,161,64
António Oliveira,180,[]
António Oliveira,212,82
António Oliveira,397,81
António Oliveira,403,79
António Oliveira,435,77
António Oliveira,447,[]
António Oliveira,466,68
António Oliveira,486,[]
António Oliveira,511,74
António Oliveira,531,74
António Oliveira,550,[]
António Oliveira,563,[]
Bruno Lopes,538,88
Cauan,33,84
Cauan,418,80
Cuca,3,87
Cuca,22,82
Cuca,45,89
Cuca,74,89
Cuca,90,89
Cuca,119,86
Cuca,131,86
Cuca,147,83
Cuca,195,72
Cuca,217,75
Cuca,233,82
Cuca,245,76
Cuca,268,87
Cuca,288,89
Cuca,296,[]
Cuca,302,83
Cuca,328,[]
Cuca,346,[]
Cuca,361,89
Cuca,398,[]
Cuca,409,[]
Cuca,433,68
Cuca,442,81
Cuca,462,87
Cuca,479,80
Cuca,488,84
Cuca,521,75
Cuca,546,87
Cuca,554,83
Cuca,568,88
Cuca,586,78
Cuca,606,81
Cuca,637,[]
Cuca,658,81
Cuca,698,88
Cuca,718,88
Cuca,734,[]
Cuca,754,87
Dado Cavalcanti,1,85
Dado Cavalcanti,25,83
Dado Cavalcanti,39,[]
Dado Cavalcanti,55,89
Dado Cavalcanti,68,75
Dado Cavalcanti,88,86
Dado Cavalcanti,112,78
Dado Cavalcanti,132,[]
Dado Cavalcanti,153,[]
Dado Cavalcanti,391,72
Dado Cavalcanti,412,75
Dado Cavalcanti,440,85
Dado Cavalcanti,459,85
Dado Cavalcanti,481,84
Dado Cavalcanti,499,84
Dado Cavalcanti,518,84
Diego Aguirre,69,[]
Diego Aguirre,94,76
Diego Aguirre,113,75
Diego Aguirre,128,[]
Diego Aguirre,154,[]
Diego Aguirre,198,79
Diego Aguirre,208,[]
Diego Aguirre,239,70
Diego Aguirre,249,89
Diego Aguirre,263,84
Diego Aguirre,269,[]
Diego Aguirre,292,[]
Diego Aguirre,312,[]
Diego Aguirre,332,[]
Diego Aguirre,348,[]
Diego Aguirre,367,[]
Diego Aguirre,432,[]
Diego Aguirre,443,82
Diego Aguirre,458,88
Diego Aguirre,477,[]
Diego Aguirre,503,[]
Diego Aguirre,523,87
Diego Aguirre,543,89
Diego Aguirre,553,80
Diego Aguirre,572,[]
Diego Aguirre,597,[]
Diego Aguirre,603,[]
Diego Aguirre,634,[]
Diego Aguirre,663,[]
Diego Aguirre,687,81
Diego Aguirre,700,79
Diego Aguirre,720,82
Diego Aguirre,759,82
Diego Dabove,179,[]
Diego Dabove,196,84
Diego Dabove,555,[]
Diego Dabove,566,79
Diego Dabove,588,78
Diego Dabove,602,[]
Diogo Giacomini,253,[]
Eduardo Barroca,10,[]
Eduardo Barroca,35,[]
Eduardo Barroca,49,[]
Eduardo Barroca,65,[]
Eduardo Barroca,92,[]
Eduardo Barroca,111,[]
Eduardo Barroca,134,88
Eduardo Barroca,157,74
Eduardo Barroca,173,[]
Eduardo Barroca,190,79
Eduardo Barroca,213,89
Eduardo Barroca,225,82
Eduardo Barroca,257,77
Eduardo Barroca,272,86
Eduardo Barroca,388,[]
Eduardo Barroca,422,[]
Eduardo Barroca,454,77
Eduardo Barroca,465,[]
Eduardo Barroca,482,[]
Eduardo Barroca,496,85
Eduardo Barroca,502,[]
Eduardo Barroca,524,[]
Eduardo Barroca,533,89
Eduardo Barroca,579,75
Eduardo Barroca,595,89
Eduardo Barroca,614,83
Eduardo Barroca,664,81
Eduardo Barroca,670,[]
Eduardo Barroca,684,80
Eduardo Souza,622,71
Eduardo Zuma,532,86
Emerson Ávila,739,[]
Felipe Endres,299,83
Felipe Endres,317,69
Felipe Endres,330,84
Felipe Endres,358,[]
Felipe Endres,369,77
Felipe Endres,666,87
Felipe Endres,669,74
Felipe Endres,702,73
Felipe Endres,732,75
Felipe Endres,752,[]
Fernando Diniz,12,89
Fernando Diniz,19,[]
Fernando Diniz,43,89
Fernando Diniz,62,[]
Fernando Diniz,70,80
Fernando Diniz,86,89
Fernando Diniz,122,[]
Fernando Diniz,140,[]
Fernando Diniz,163,[]
Fernando Diniz,168,[]
Fernando Diniz,381,[]
Fernando Diniz,414,85
Fernando Diniz,434,[]
Fernando Diniz,456,[]
Fernando Diniz,476,77
Fernando Diniz,494,87
Fernando Diniz,513,[]
Fernando Diniz,558,81
Fábio Carille,186,[]
Fábio Carille,240,79
Fábio Carille,264,82
Fábio Carille,275,79
Fábio Carille,294,84
Fábio Carille,303,81
Fábio Carille,322,84
Fábio Carille,341,85
Fábio Carille,375,84
Fábio Carille,577,[]
Fábio Carille,589,[]
Fábio Carille,611,[]
Fábio Carille,625,[]
Fábio Carille,639,86
Fábio Carille,657,84
Fábio Carille,689,83
Fábio Carille,713,[]
Fábio Carille,728,87
Fábio Carille,748,[]
Gustavo Florentín,167,85
Gustavo Florentín,192,[]
Gustavo Florentín,211,77
Gustavo Florentín,224,[]
Gustavo Florentín,232,[]
Gustavo Florentín,259,[]
Gustavo Florentín,284,[]
Gustavo Florentín,306,[]
Gustavo Florentín,327,[]
Gustavo Florentín,357,[]
Gustavo Florentín,370,[]
Gustavo Florentín,560,[]
Gustavo Florentín,575,86
Gustavo Florentín,601,[]
Gustavo Florentín,630,[]
Gustavo Florentín,653,[]
Gustavo Florentín,656,85
Gustavo Florentín,673,[]
Gustavo Florentín,696,[]
Gustavo Florentín,725,[]
Gustavo Florentín,749,68
Guto Ferreira,4,75
Guto Ferreira,32,[]
Guto Ferreira,53,[]
Guto Ferreira,61,82
Guto Ferreira,84,[]
Guto Ferreira,106,84
Guto Ferreira,135,78
Guto Ferreira,144,86
Guto Ferreira,162,85
Guto Ferreira,243,[]
Guto Ferreira,271,74
Guto Ferreira,274,74
Guto Ferreira,297,83
Guto Ferreira,335,[]
Guto Ferreira,343,87
Guto Ferreira,354,[]
Guto Ferreira,360,82
Guto Ferreira,392,87
Guto Ferreira,406,90
Guto Ferreira,420,89
Guto Ferreira,453,75
Guto Ferreira,473,[]
Guto Ferreira,483,89
Guto Ferreira,504,[]
Guto Ferreira,529,73
Guto Ferreira,551,63
Guto Ferreira,615,77
Guto Ferreira,633,81
Guto Ferreira,659,72
Guto Ferreira,688,73
Guto Ferreira,707,89
Guto Ferreira,729,[]
Guto Ferreira,753,[]
Hernán Crespo,2,[]
Hernán Crespo,28,[]
Hernán Crespo,46,85
Hernán Crespo,83,89
Hernán Crespo,101,[]
Hernán Crespo,107,85
Hernán Crespo,127,[]
Hernán Crespo,148,[]
Hernán Crespo,199,89
Hernán Crespo,203,[]
Hernán Crespo,206,[]
Hernán Crespo,231,[]
Hernán Crespo,390,[]
Hernán Crespo,402,75
Hernán Crespo,423,80
Hernán Crespo,441,[]
Hernán Crespo,452,87
Hernán Crespo,474,88
Hernán Crespo,501,88
Hernán Crespo,517,84
Hernán Crespo,544,76
Hernán Crespo,552,[]
Hernán Crespo,571,78
Hernán Crespo,598,[]
Hernán Crespo,621,70
Jair Ventura,26,68
Jair Ventura,52,85
Jair Ventura,79,79
Jair Ventura,95,79
Jair Ventura,110,82
Jair Ventura,133,85
Jair Ventura,265,[]
Jair Ventura,279,[]
Jair Ventura,307,[]
Jair Ventura,325,[]
Jair Ventura,350,89
Jair Ventura,371,73
Jair Ventura,396,[]
Jair Ventura,408,76
Jair Ventura,425,[]
Jair Ventura,439,[]
Jair Ventura,446,72
Jair Ventura,484,82
Jair Ventura,505,82
Jair Ventura,697,84
Jair Ventura,708,[]
Jair Ventura,716,89
Jair Ventura,745,82
James Freitas,750,78
Jorginho,82,80
Jorginho,103,82
Jorginho,116,73
Jorginho,126,81
Jorginho,138,83
Jorginho,151,85
Jorginho,156,76
Jorginho,178,72
Jorginho,202,71
Jorginho,214,79
Jorginho,241,[]
Jorginho,250,81
Jorginho,285,73
Jorginho,289,82
Jorginho,320,[]
Jorginho,353,72
Jorginho,366,78
Jorginho,467,86
Jorginho,490,81
Jorginho,508,89
Jorginho,540,80
Jorginho,556,84
Jorginho,564,80
Jorginho,593,83
Jorginho,610,89
Jorginho,640,77
Jorginho,648,75
Jorginho,678,82
Jorginho,693,84
Jorginho,715,89
Jorginho,736,85
Jorginho,755,89
Juan Pablo Vojvoda,14,85
Juan Pablo Vojvoda,27,[]
Juan Pablo Vojvoda,41,[]
Juan Pablo Vojvoda,66,76
Juan Pablo Vojvoda,89,84
Juan Pablo Vojvoda,105,77
Juan Pablo Vojvoda,120,[]
Juan Pablo Vojvoda,152,[]
Juan Pablo Vojvoda,176,87
Juan Pablo Vojvoda,188,78
Juan Pablo Vojvoda,215,84
Juan Pablo Vojvoda,236,82
Juan Pablo Vojvoda,247,[]
Juan Pablo Vojvoda,267,73
Juan Pablo Vojvoda,305,[]
Juan Pablo Vojvoda,323,[]
