tecnico,,tempo
Juan Pablo Vojvoda,329,[]
Juan Pablo Vojvoda,359,75
Juan Pablo Vojvoda,373,89
Juan Pablo Vojvoda,383,87
Juan Pablo Vojvoda,415,[]
Juan Pablo Vojvoda,428,89
Juan Pablo Vojvoda,438,[]
Juan Pablo Vojvoda,457,76
Juan Pablo Vojvoda,487,[]
Juan Pablo Vojvoda,515,87
Juan Pablo Vojvoda,519,[]
Juan Pablo Vojvoda,539,81
Juan Pablo Vojvoda,559,80
Juan Pablo Vojvoda,578,89
Juan Pablo Vojvoda,591,[]
Juan Pablo Vojvoda,609,[]
Juan Pablo Vojvoda,632,80
Juan Pablo Vojvoda,660,82
Juan Pablo Vojvoda,671,89
Juan Pablo Vojvoda,691,84
Juan Pablo Vojvoda,721,85
Juan Pablo Vojvoda,746,76
Lisca,15,74
Lisca,387,[]
Lisca,401,79
Luiz Felipe Scolari,97,[]
Luiz Felipe Scolari,117,70
Luiz Felipe Scolari,145,86
Luiz Felipe Scolari,158,[]
Luiz Felipe Scolari,169,[]
Luiz Felipe Scolari,187,80
Luiz Felipe Scolari,221,[]
Luiz Felipe Scolari,230,[]
Luiz Felipe Scolari,489,[]
Luiz Felipe Scolari,509,87
Luiz Felipe Scolari,528,[]
Luiz Felipe Scolari,536,[]
Luiz Felipe Scolari,581,82
Luiz Felipe Scolari,592,[]
Luiz Felipe Scolari,620,89
Luiz Fernando Iubel,75,77
Luiz Fernando Iubel,393,87
Luiz Fernando Iubel,413,72
Luiz Fernando Iubel,426,77
Luiz Fernando Iubel,444,80
Marcelo Cabo,309,89
Marcelo Cabo,331,86
Marcelo Cabo,336,83
Marcelo Cabo,349,78
Marcelo Cabo,378,88
Marcelo Cabo,701,81
Marcelo Cabo,738,89
Marcelo Cabo,747,81
Marcão,166,86
Marcão,175,[]
Marcão,177,86
Marcão,191,[]
Marcão,210,89
Marcão,229,81
Marcão,234,79
Marcão,266,78
Marcão,293,78
Marcão,315,82
Marcão,334,88
Marcão,340,[]
Marcão,372,89
Marcão,561,82
Marcão,582,88
Marcão,628,82
Marcão,635,77
Marcão,655,86
Marcão,661,80
Marcão,680,81
Marcão,705,85
Marcão,726,86
Marcão,740,74
Marquinhos Santos,17,[]
Marquinhos Santos,31,86
Marquinhos Santos,44,88
Marquinhos Santos,56,[]
Marquinhos Santos,71,88
Marquinhos Santos,102,85
Marquinhos Santos,125,[]
Marquinhos Santos,141,87
Marquinhos Santos,159,[]
Marquinhos Santos,172,89
Marquinhos Santos,184,87
Marquinhos Santos,209,87
Marquinhos Santos,237,[]
Marquinhos Santos,280,89
Marquinhos Santos,310,89
Marquinhos Santos,321,88
Marquinhos Santos,352,83
Marquinhos Santos,377,83
Marquinhos Santos,380,89
Marquinhos Santos,399,[]
Marquinhos Santos,430,89
Marquinhos Santos,464,87
Marquinhos Santos,468,88
Marquinhos Santos,493,81
Marquinhos Santos,526,85
Marquinhos Santos,557,88
Marquinhos Santos,562,84
Marquinhos Santos,574,[]
Marquinhos Santos,600,[]
Marquinhos Santos,604,71
Marquinhos Santos,624,82
Marquinhos Santos,638,88
Marquinhos Santos,644,70
Marquinhos Santos,676,[]
Marquinhos Santos,686,78
Marquinhos Santos,714,89
Marquinhos Santos,724,[]
Marquinhos Santos,743,83
Maurício Barbieri,11,[]
Maurício Barbieri,24,83
Maurício Barbieri,47,[]
Maurício Barbieri,73,[]
Maurício Barbieri,87,[]
Maurício Barbieri,114,88
Maurício Barbieri,129,89
Maurício Barbieri,146,83
Maurício Barbieri,174,83
Maurício Barbieri,185,84
Maurício Barbieri,216,89
Maurício Barbieri,227,[]
Maurício Barbieri,242,89
Maurício Barbieri,270,79
Maurício Barbieri,276,88
Maurício Barbieri,295,[]
Maurício Barbieri,311,[]
Maurício Barbieri,344,[]
Maurício Barbieri,379,86
Maurício Barbieri,386,87
Maurício Barbieri,410,[]
Maurício Barbieri,417,[]
Maurício Barbieri,445,[]
Maurício Barbieri,463,79
Maurício Barbieri,478,74
Maurício Barbieri,500,78
Maurício Barbieri,516,86
Maurício Barbieri,545,82
Maurício Barbieri,576,83
Maurício Barbieri,590,84
Maurício Barbieri,618,[]
Maurício Barbieri,636,76
Maurício Barbieri,643,[]
Maurício Barbieri,665,[]
Maurício Barbieri,683,[]
Maurício Barbieri,699,85
Maurício Barbieri,730,[]
Maurício Barbieri,741,[]
Maurício Ferreira De Souza,351,60
Maurício Ferreira De Souza,368,[]
Maurício Ferreira De Souza,737,82
Maurício Ferreira De Souza,758,[]
Miguel Ángel Ramírez,9,83
Miguel Ángel Ramírez,394,72
Mozart Batista,6,[]
Osmar Loss Vieira,29,75
Osmar Loss Vieira,40,86
Osmar Loss Vieira,405,[]
Paulo Autuori,7,86
Paulo Autuori,194,73
Paulo Autuori,599,81
Pintado,155,71
Pintado,181,80
Pintado,193,73
Pintado,218,81
Pintado,226,79
Pintado,246,[]
Pintado,252,89
Pintado,525,82
Pintado,537,83
Pintado,547,83
Pintado,565,87
Pintado,584,77
Pintado,619,82
Pintado,651,79
Renato Gaúcho,104,[]
Renato Gaúcho,121,88
Renato Gaúcho,143,[]
Renato Gaúcho,150,87
Renato Gaúcho,201,89
Renato Gaúcho,219,80
Renato Gaúcho,244,89
Renato Gaúcho,260,[]
Renato Gaúcho,278,87
Renato Gaúcho,290,87
Renato Gaúcho,308,82
Renato Gaúcho,326,59
Renato Gaúcho,492,78
Renato Gaúcho,510,81
Renato Gaúcho,542,85
Renato Gaúcho,548,80
Renato Gaúcho,569,73
Renato Gaúcho,587,89
Renato Gaúcho,607,[]
Renato Gaúcho,616,82
Renato Gaúcho,646,[]
Renato Gaúcho,667,89
Renato Gaúcho,679,[]
Renato Gaúcho,694,73
Renato Gaúcho,712,83
Renato Gaúcho,717,78
Roger Machado,13,81
Roger Machado,34,85
Roger Machado,57,87
Roger Machado,67,[]
Roger Machado,93,[]
Roger Machado,109,75
Roger Machado,382,88
Roger Machado,404,89
Roger Machado,421,79
Roger Machado,429,75
Roger Machado,461,85
Roger Machado,480,85
Roger Machado,498,82
Roger Machado,522,75
Roger Machado,534,85
Rogério Ceni,5,[]
Rogério Ceni,21,88
Rogério Ceni,37,[]
Rogério Ceni,48,[]
Rogério Ceni,81,[]
Rogério Ceni,251,86
Rogério Ceni,261,87
Rogério Ceni,283,86
Rogério Ceni,314,69
Rogério Ceni,339,82
Rogério Ceni,345,87
Rogério Ceni,365,82
Rogério Ceni,436,81
Rogério Ceni,455,89
Rogério Ceni,470,[]
Rogério Ceni,650,69
Rogério Ceni,677,87
Rogério Ceni,685,82
Rogério Ceni,704,78
Rogério Ceni,735,72
Rogério Ceni,757,[]
Sylvinho,8,[]
Sylvinho,30,[]
Sylvinho,51,[]
Sylvinho,72,[]
Sylvinho,78,[]
Sylvinho,108,[]
Sylvinho,130,85
Sylvinho,149,[]
Sylvinho,182,[]
Sylvinho,200,[]
Sylvinho,205,78
Sylvinho,222,87
Sylvinho,248,[]
Sylvinho,286,[]
Sylvinho,291,[]
Sylvinho,313,84
Sylvinho,333,[]
Sylvinho,347,[]
Sylvinho,362,[]
Sylvinho,395,[]
Sylvinho,400,[]
Sylvinho,419,[]
Sylvinho,437,[]
Sylvinho,475,[]
Sylvinho,485,86
Sylvinho,506,83
Sylvinho,520,[]
Sylvinho,541,76
Sylvinho,549,[]
Sylvinho,570,89
Sylvinho,596,[]
Sylvinho,612,[]
Sylvinho,641,[]
Sylvinho,649,[]
Sylvinho,682,[]
Sylvinho,706,67
Sylvinho,722,81
Sylvinho,751,[]
Thiago Gomes Pacheco,471,79
Thiago Gomes Pacheco,627,81
Tiago Nunes,23,83
Tiago Nunes,54,[]
Tiago Nunes,58,[]
Tiago Nunes,85,86
Tiago Nunes,197,89
Tiago Nunes,204,79
Tiago Nunes,223,[]
Tiago Nunes,256,83
Tiago Nunes,262,84
Tiago Nunes,281,76
Tiago Nunes,298,89
Tiago Nunes,316,84
Tiago Nunes,342,75
Tiago Nunes,363,75
Tiago Nunes,384,[]
Tiago Nunes,416,78
Tiago Nunes,451,84
Tiago Nunes,567,87
Tiago Nunes,613,84
Tiago Nunes,631,88
Tiago Nunes,645,85
Tiago Nunes,654,[]
Tiago Nunes,681,80
Tiago Nunes,703,73
Tiago Nunes,711,77
Tiago Nunes,731,89
Tiago Nunes,756,[]
Umberto Lourenço Louzer Filho ,18,84
Umberto Lourenço Louzer Filho ,36,84
Umberto Lourenço Louzer Filho ,64,85
Umberto Lourenço Louzer Filho ,80,[]
Umberto Lourenço Louzer Filho ,100,76
Umberto Lourenço Louzer Filho ,124,[]
Umberto Lourenço Louzer Filho ,136,89
Umberto Lourenço Louzer Filho ,164,89
Umberto Lourenço Louzer Filho ,389,89
Umberto Lourenço Louzer Filho ,407,83
Umberto Lourenço Louzer Filho ,424,84
Umberto Lourenço Louzer Filho ,431,67
Umberto Lourenço Louzer Filho ,450,[]
Umberto Lourenço Louzer Filho ,472,89
Umberto Lourenço Louzer Filho ,495,87
Umberto Lourenço Louzer Filho ,512,[]
Umberto Lourenço Louzer Filho ,530,69
Vágner Mancini,50,89
Vágner Mancini,63,[]
Vágner Mancini,76,87
Vágner Mancini,99,76
Vágner Mancini,115,76
Vágner Mancini,142,89
Vágner Mancini,165,71
Vágner Mancini,171,80
Vágner Mancini,183,84
Vágner Mancini,207,79
Vágner Mancini,228,80
Vágner Mancini,258,80
Vágner Mancini,282,77
Vágner Mancini,300,79
Vágner Mancini,319,84
Vágner Mancini,337,72
Vágner Mancini,355,78
Vágner Mancini,374,[]
Vágner Mancini,448,75
Vágner Mancini,469,68
Vágner Mancini,497,81
Vágner Mancini,514,78
Vágner Mancini,535,83
Vágner Mancini,580,85
Vágner Mancini,583,88
Vágner Mancini,594,87
Vágner Mancini,617,89
Vágner Mancini,629,84
Vágner Mancini,652,83
Vágner Mancini,668,81
Vágner Mancini,672,77
Vágner Mancini,690,85
Vágner Mancini,710,77
Vágner Mancini,723,72
Vágner Mancini,742,74
