,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
64,dict_values(['Sport']),dict_values(['Umberto Lourenço Louzer Filho ']),dict_values(['Cuiabá']),dict_values(['Luiz Fernando Iubel']),dict_values(['0']),dict_values(['0']),"dict_values([['Mailson', 'Hayner', 'Júnior Tavares', 'Rafael Thyere', 'Betinho', 'Thiago Lopes', 'Thiago Neves', 'José Sabino', 'Everaldo', 'Marcão Silva', 'André']])","dict_values([['Walter', 'João Lucas', 'Marllon Borges', 'Paulão', 'Yuri Oliveira Lima', 'Uendel', 'Jonathan Cafu', 'Rafael Gava', 'Élton Rodrigues Brandão', 'Clayson', 'João Pedro Pepê']])","dict_values([['Luan Polli', 'Ronaldo Henrique', 'Iago Maidana', 'Neílton', 'Santiago Tréllez', 'José Welison', 'Ricardinho', 'Gustavo', 'Chico', 'Victor Gabriel', 'Paulinho Moccelin', 'Mikael']])","dict_values([['João Carlos', 'Lucas Ramon', 'Anderson Conceição', 'José Walber', 'Lucas Hernández', 'Auremir', 'Uillian Correia', 'Papagaio', 'Camilo', 'Osman Júnior', 'Guilherme Pato', 'Danilo']])","dict_values([('Thiago Lopes', 'Neílton')])",45,"dict_values([('Betinho', 'José Welison')])",45,"dict_values([('André', 'Santiago Tréllez')])",77,"dict_values([('Everaldo', 'Mikael')])",83,"dict_values([('Thiago Neves', 'Paulinho Moccelin')])",85,"dict_values([('Jonathan Cafu', 'Danilo')])",58,"dict_values([('Rafael Gava', 'Uillian Correia')])",71,"dict_values([('João Pedro Pepê', 'Camilo')])",71,"dict_values([('Uendel', 'Lucas Hernández')])",80,"dict_values([('Clayson', 'Guilherme Pato')])",80
65,dict_values(['Atl']),dict_values(['Eduardo Barroca']),dict_values(['Bragantino']),dict_values(['Maurício Barbieri']),dict_values(['0']),dict_values(['1']),"dict_values([['Fernando Miguel', 'Luis Eduardo Marques dos Santos', 'Nathan Silva', 'Eder', 'Willian Maranhão', 'Igor Cariús', 'Janderson', 'Marlon Freitas', 'Zé Roberto', 'Arthur', 'Natanael']])","dict_values([['Cleiton Schwengber', 'Leo Ortiz', 'Edimar Fraga', 'Artur', 'Lucas Evangelista', 'Claudinho', 'Helio Junio', 'Fabrício Bruno', 'Ytalo', 'Raul', 'Rafael']])","dict_values([['Maurício Kozlinski', 'Arnaldo', 'Lucas Oliveira', 'Gabriel Baralhas', 'André Lima', 'Matheus Oliveira Santos', 'André Luis', 'Pablo Dyego', 'Lucas Melão Lucão']])","dict_values([['Júlio César', 'Leonardo Realpe', 'Jadsom', 'Eric Ramires', 'Weverton', 'Chrigor Flore', 'Natan', 'Bruno Praxedes', 'Weverson', 'Tomás Cuello', 'Vitinho', 'Pedrinho']])","dict_values([('Natanael', 'André Luis')])",72,"dict_values([('Arthur', 'Gabriel Baralhas')])",77,"dict_values([('Zé Roberto', 'Lucas Melão Lucão')])",77,"dict_values([('Willian Maranhão', 'Pablo Dyego')])",84,dict_values([]),[],"dict_values([('Lucas Evangelista', 'Eric Ramires')])",76,"dict_values([('Rafael', 'Weverton')])",77,"dict_values([('Helio Junio', 'Tomás Cuello')])",83,"dict_values([('Ytalo', 'Leonardo Realpe')])",89,dict_values([]),[]
66,dict_values(['Fortaleza']),dict_values(['Juan Pablo Vojvoda']),dict_values(['Chapecoense']),dict_values(['Jair Ventura']),dict_values(['3']),dict_values(['2']),"dict_values([['Felipe Alves Raymundo', 'Juan Quintero', 'Marcelo', 'Lucas Crispim', 'Éderson', 'Felipe', 'David', 'Romarinho', 'Yago Pikachu', 'Titi', 'Matheus de Vargas']])","dict_values([['João Paulo', 'Matheus Ribeiro', 'Anselmo Ramon', 'Fernandinho', 'Mike', 'Ravanelli', 'Ignácio', 'Felipe Santana', 'Lima', 'Derlan', 'Mancha']])","dict_values([['Marcelo Boeck', 'Guilherme Tinga', 'Jackson de Souza', 'Carlinhos', 'Robson', 'Luiz Henrique', 'Osvaldo', 'Ronald', 'Daniel Guedes', 'Bruno Melo', 'Igor Torres', 'Pablo']])","dict_values([['Keiller', 'Vagner', 'Laércio', 'Foquinho', 'Ronei', 'Guedes', 'Ezequiel', 'Fabinho', 'Geuvânio', 'Pedro Perotti', 'Felipe Silva', 'Kaio Nunes']])","dict_values([('Matheus de Vargas', 'Robson')])",56,"dict_values([('Romarinho', 'Luiz Henrique')])",64,"dict_values([('Lucas Crispim', 'Bruno Melo')])",64,"dict_values([('Felipe', 'Guilherme Tinga')])",76,"dict_values([('David', 'Ronald')])",76,"dict_values([('Lima', 'Guedes')])",45,"dict_values([('Mike', 'Kaio Nunes')])",54,"dict_values([('Mancha', 'Felipe Silva')])",62,"dict_values([('Anselmo Ramon', 'Pedro Perotti')])",62,"dict_values([('Ravanelli', 'Geuvânio')])",72
67,dict_values(['Fluminense']),dict_values(['Roger Machado']),dict_values(['Atl']),dict_values(['António Oliveira']),dict_values(['1']),dict_values(['4']),"dict_values([['Marcos Felipe', 'Luccas Claro', 'Egídio Pereira Júnior', 'Fred', 'Juan Cazares', 'Yago', 'Lucas Felipe Calegari', 'Nino', 'Matheus Martinelli', 'Gabriel Teixeira', 'Nenê']])","dict_values([['Santos', 'Marcinho', 'Abner', 'Léo Cittadini', 'Matheus Babi', 'Richard', 'Zé Ivaldo', 'Thiago Heleno', 'Fernando Canesin', 'David Terans', 'Carlos Eduardo']])","dict_values([['Muriel Becker', 'Wellington Martins', 'Lucca', 'Ganso', 'Danilo Barcelos', 'João Neto', 'Matheus Martins', 'Igor Julião', 'Manoel', 'André', 'Kayky Chagas', 'David Braz']])","dict_values([['Anderson', 'Bento', 'Márcio Azevedo', 'Nikão', 'Khellven', 'Jáderson', 'Erick', 'Vitinho', 'Luan Patrick', 'Pedro Henrique', 'Renato Kayser', 'Christian']])","dict_values([('Juan Cazares', 'Kayky Chagas')])",68,"dict_values([('Yago', 'Ganso')])",68,"dict_values([('Nenê', 'Matheus Martins')])",76,"dict_values([('Gabriel Teixeira', 'João Neto')])",76,dict_values([]),[],"dict_values([('Fernando Canesin', 'Nikão')])",63,"dict_values([('Carlos Eduardo', 'Vitinho')])",63,"dict_values([('David Terans', 'Christian')])",73,"dict_values([('Matheus Babi', 'Pedro Henrique')])",86,dict_values([]),[]
68,dict_values(['Bahia']),dict_values(['Dado Cavalcanti']),dict_values(['América']),dict_values(['Vágner Mancini']),dict_values(['3']),dict_values(['4']),"dict_values([['Matheus Teixeira', 'Nino Paraíba', 'Rossi', 'Danielzinho', 'Gilberto', 'Rodriguinho Marinho', 'Thaciano', 'Lucas Fonseca', 'Juninho', 'Patrick de Lucca', 'Matheus Bahia']])","dict_values([['MG', 'Matheus Cavichioli', 'Eduardo', 'Eduardo Gabriel', 'Anderson Jesus', 'Zé Ricardo', 'João Paulo', 'Juninho', 'Marcelo Toscano', 'Ribamar', 'Felipe Azevedo']])","dict_values([['Mateus Claus', 'Luiz Otávio', 'Ligger', 'Óscar Ruiz', 'Thonny Anderson', 'Jonas', 'Juninho Capixaba', 'Lucas Araujo', 'Edson', 'Maycon', 'Renan Guedes', 'Pablo Barbosa']])","dict_values([['Banco', 'Jori', 'Diego', 'Ricardo Silva', 'Sabino', 'Alan Ruschel', 'Yan Sasse', 'Bruno Nazário', 'Ale', 'Geovane', 'Juninho', 'Carlos Alberto']])","dict_values([('Thaciano', 'Maycon')])",31,"dict_values([('Patrick de Lucca', 'Jonas')])",59,"dict_values([('Rossi', 'Thonny Anderson')])",75,"dict_values([('Rodriguinho Marinho', 'Óscar Ruiz')])",75,"dict_values([('Juninho', 'Ale')])",75,"dict_values([('Marcelo Toscano', 'Juninho')])",31,"dict_values([('Rodolfo', 'Alan Ruschel')])",59,"dict_values([('Felipe Azevedo', 'Sabino')])",60,"dict_values([('João Paulo', 'Bruno Nazário')])",69,"dict_values([('Juninho', 'Ale')])",75
69,dict_values(['Internacional']),dict_values(['Diego Aguirre']),dict_values(['Palmeiras']),dict_values(['Abel Ferreira']),dict_values(['1']),dict_values(['2']),"dict_values([['Daniel', 'Heitor', 'Edenílson', 'Yuri Alberto', 'Rodrigo Dourado', 'Víctor Cuesta', 'Renzo Saravia', 'Johnny Cardoso', 'Pedro Henrique', 'Caio Vidal', 'Patrick']])","dict_values([['Jailson', 'Marcos Rocha', 'Renan', 'Benjamín Kuscevic', 'Zé Rafael', 'Luan Garcia', 'Gustavo Scarpa', 'Deyverson', 'Breno', 'Raphael Veiga', 'Danilo']])","dict_values([['Marcelo Lomba', 'Rodrigo Lindoso', 'Gabriel Boschilia', 'Mauricio', 'Vinicius Mello', 'Peglow', 'Nonato', 'Leonardo Borges', 'Lucas Ramos', 'Lucas Mazetti', 'Juan Cuesta']])","dict_values([['Vinicius Silvestre', 'Patrick de Paula', 'Luiz Adriano', 'Wesley', 'Danilo Barbosa', 'Lucas Lima', 'Gabriel Menino', 'Victor Luis', 'Willian', 'Felipe Melo', 'Michel']])","dict_values([('Rodrigo Dourado', 'Gabriel Boschilia')])",71,"dict_values([('Renzo Saravia', 'Vinicius Mello')])",80,dict_values([]),[],dict_values([]),[],dict_values([]),[],"dict_values([('Breno', 'Victor Luis')])",45,"dict_values([('Zé Rafael', 'Danilo Barbosa')])",68,"dict_values([('Gustavo Scarpa', 'Felipe Melo')])",68,"dict_values([('Marcos Rocha', 'Gabriel Menino')])",68,"dict_values([('Raphael Veiga', 'Patrick de Paula')])",89
70,dict_values(['Santos']),dict_values(['Fernando Diniz']),dict_values(['Sport']),dict_values(['Umberto Lourenço Louzer Filho ']),dict_values(['0']),dict_values(['0']),"dict_values([['João Paulo', 'Luis Felipe', 'Felipe Jonatan', 'Kaio Jorge', 'Luan Peres Petroni', 'Gabriel Pirani', 'Pará', 'Marcos Guilherme', 'Guilherme Camacho', 'Lucas Braga', 'Jean Mota']])","dict_values([['Mailson', 'Hayner', 'Neílton', 'Júnior Tavares', 'José Welison', 'Rafael Thyere', 'Thiago Neves', 'José Sabino', 'Everaldo', 'Marcão Silva', 'André']])","dict_values([['Paulo Mazoti', 'Carlos Sánchez', 'Mádson', 'Ivonei', 'Vinicius', 'Danilo Boza', 'Vinicius Nelson', 'Ângelo Borges', 'Kaiky', 'Marcos Leonardo Almeida', 'Moraes', 'Lucas Venuto']])","dict_values([['Luan Polli', 'Ronaldo Henrique', 'Santiago Tréllez', 'Betinho', 'Thiago Lopes', 'Ricardinho', 'Gustavo', 'Chico', 'Victor Gabriel', 'Paulinho Moccelin', 'Mikael']])","dict_values([('Gabriel Pirani', 'Carlos Sánchez')])",55,"dict_values([('Felipe Jonatan', 'Mádson')])",62,"dict_values([('Pará', 'Vinicius Nelson')])",62,"dict_values([('Lucas Braga', 'Marcos Leonardo Almeida')])",80,"dict_values([('Luis Felipe', 'Lucas Venuto')])",80,"dict_values([('Neílton', 'Santiago Tréllez')])",68,"dict_values([('Everaldo', 'Paulinho Moccelin')])",74,"dict_values([('Thiago Neves', 'Gustavo')])",89,"dict_values([('André', 'Mikael')])",89,dict_values([]),[]
71,dict_values(['Juventude']),dict_values(['Marquinhos Santos']),dict_values(['Grêmio']),dict_values(['Tiago Nunes']),dict_values(['2']),dict_values(['0']),"dict_values([['Marcelo Carné', 'Matheus Jesus', 'Matheus Peixoto', 'Wescley', 'Paulinho', 'Rafael Forster', 'Elton', 'Vitor Mendes', 'William Matheus', 'Michel', 'Guilherme Carvalho']])","dict_values([['Gabriel Chapecó', 'Pedro Geromel', 'Matheus Henrique', 'Douglas Costa', 'Ferreira', 'Rafinha', 'Darlan Mendes', 'Paulo Miranda', 'Diego Souza', 'Diogo Barbosa', 'Victor Bobsin']])","dict_values([['William', 'Cleberson', 'Eltinho', 'Capixaba', 'Fernando Pacheco Rivas', 'Wágner', 'Chico', 'Matheus Cotulio Bossa', 'Bruninho', 'Vinicius José Ignácio', 'Marcos Vinicios', 'Paulo Henrique']])","dict_values([['Adriel', 'Bruno Cortez', 'Lucas Silva', 'Jhonata Robert', 'Rodrigues', 'Luiz Fernando', 'Vanderson', 'Guedes', 'Leo Augusto', 'Fernando Henrique', 'Ricardinho', 'Jean Pyerre']])","dict_values([('Matheus Jesus', 'Marcos Vinicios')])",66,"dict_values([('Paulinho', 'Chico')])",67,"dict_values([('Wescley', 'Cleberson')])",75,"dict_values([('Elton', 'Fernando Pacheco Rivas')])",75,"dict_values([('Matheus Peixoto', 'Vinicius José Ignácio')])",88,"dict_values([('Darlan Mendes', 'Jean Pyerre')])",45,"dict_values([('Diego Souza', 'Ricardinho')])",45,"dict_values([('Matheus Henrique', 'Luiz Fernando')])",77,"dict_values([('Rafinha', 'Vanderson')])",77,"dict_values([('Diogo Barbosa', 'Leo Augusto')])",84
72,dict_values(['Corinthians']),dict_values(['Thiago Mendes']),dict_values(['São']),dict_values(['Hernán Crespo']),dict_values(['0']),dict_values(['0']),"dict_values([['Cássio', 'Gil', 'Gabriel', 'Gustavo Mosquito', 'Mateus Vital', 'Fagner', 'Víctor Cantillo', 'Fábio Santos', 'João Victor', 'Vitinho', 'Jô']])","dict_values([['Tiago Volpi', 'Igor Vinícius de Souza', 'Bruno Fabiano Alves', 'Reinaldo', 'Martín Benítez', 'Dani Alves', 'Luan', 'Liziero', 'Léo Pelé', 'Miranda', 'Éder']])","dict_values([['Matheus Donelli', 'Jemerson', 'Lucas Piton', 'Luan Vieira', 'Marquinhos', 'Felipe Augusto', 'Adson', 'Budiga', 'Raul Bicalho', 'Gabriel Pereira', 'Xavier', 'Luis Mandaca']])","dict_values([['Lucas Perri', 'Diego', 'Joao Rojas', 'Pablo', 'Vitor Bueno', 'Hernanes', 'Rodrigo Nestor', 'Igor Gomes', 'Antonio Galeano', 'Welington', 'Talles Costa', 'Emiliano Rigoni']])","dict_values([('Gustavo Mosquito', 'Marquinhos')])",62,"dict_values([('Gabriel', 'Budiga')])",70,"dict_values([('Mateus Vital', 'Xavier')])",89,dict_values([]),[],dict_values([]),[],"dict_values([('Martín Benítez', 'Emiliano Rigoni')])",54,"dict_values([('Liziero', 'Rodrigo Nestor')])",71,"dict_values([('Éder', 'Vitor Bueno')])",72,"dict_values([('Luan', 'Igor Gomes')])",87,"dict_values([('Miranda', 'Diego')])",87
73,dict_values(['Bragantino']),dict_values(['Maurício Barbieri']),dict_values(['Ceará']),dict_values(['Guto Ferreira']),dict_values(['0']),dict_values(['0']),"dict_values([['Cleiton Schwengber', 'Edimar Fraga', 'Artur', 'Lucas Evangelista', 'Claudinho', 'Helio Junio', 'Aderlan Silva', 'Fabrício Bruno', 'Ytalo', 'Natan', 'Raul']])","dict_values([['Richard', 'Messias', 'Bruno Pacheco', 'Fernando Sobral', 'Stiven Mendoza', 'Gabriel Lacerda', 'Marlon', 'Marcos Ytalo', 'Vinícius', 'Lima', 'Saulo da Silva']])","dict_values([['Júlio César', 'Leonardo Realpe', 'Jadsom', 'Eric Ramires', 'Weverton', 'Chrigor Flore', 'Leandrinho', 'Cesar Haydar', 'Bruno Praxedes', 'Weverson', 'Vitinho', 'Pedrinho']])","dict_values([['Davi', 'André Luiz', 'Jorginho', 'Willian', 'Wendson', 'Pedrinho', 'Jordan', 'Rick', 'Alessandro', 'Kelvyn', 'Hélio', 'Cléber']])","dict_values([('Lucas Evangelista', 'Eric Ramires')])",72,"dict_values([('Helio Junio', 'Pedrinho')])",83,"dict_values([('Raul', 'Chrigor Flore')])",89,dict_values([]),[],dict_values([]),[],"dict_values([('Gabriel Lacerda', 'Jordan')])",61,"dict_values([('Vinícius', 'Jorginho')])",70,"dict_values([('Lima', None)])",71,"dict_values([('Saulo da Silva', 'Kelvyn')])",71,"dict_values([('Marlon', 'Pedrinho')])",75
74,dict_values(['Atlético']),dict_values(['Cuca']),dict_values(['Atl']),dict_values(['Eduardo Barroca']),dict_values(['4']),dict_values(['1']),"dict_values([['Éverson', 'Réver', 'Hulk', 'Jair', 'Federico Zaracho', 'Igor Rabello', 'Jefferson Savarino', 'Mariano', 'Ignacio Fernández', 'Tchê Tchê', 'Marrony']])","dict_values([['Fernando Miguel', 'Luis Eduardo Marques dos Santos', 'Lucas Oliveira', 'Eder', 'Willian Maranhão', 'Igor Cariús', 'Janderson', 'Marlon Freitas', 'Zé Roberto', 'Arthur', 'Natanael']])","dict_values([['Matheus Mendes', 'Guga', 'Dylan Borrero', 'Hyoran', 'Nathan', 'Calebe', 'Felipe Felicio', 'Gabriel', 'Sávio', 'Neto', 'Micael', 'Luis Otávio Echaporã']])","dict_values([['Maurício Kozlinski', 'Arnaldo', 'Michel Custódio', 'André Lima', 'Gabriel Baralhas', 'Arthur Henrique', 'André Luis', 'Pablo Dyego', 'Lucas Melão Lucão']])","dict_values([('Marrony', 'Hyoran')])",77,"dict_values([('Federico Zaracho', 'Neto')])",89,"dict_values([('Jefferson Savarino', 'Nathan')])",89,"dict_values([('Ignacio Fernández', 'Calebe')])",89,"dict_values([('Hulk', 'Felipe Felicio')])",89,"dict_values([('Zé Roberto', 'Lucas Melão Lucão')])",45,"dict_values([('Igor Cariús', 'André Luis')])",45,"dict_values([('Janderson', 'Pablo Dyego')])",71,"dict_values([('Luis Eduardo Marques dos Santos', 'Arnaldo')])",71,"dict_values([('Arthur', 'Gabriel Baralhas')])",77
75,dict_values(['Cuiabá']),dict_values(['Luiz Fernando Iubel']),dict_values(['Flamengo']),dict_values(['Rogério Ceni']),dict_values(['0']),dict_values(['2']),"dict_values([['Walter', 'Lucas Ramon', 'Marllon Borges', 'Paulão', 'Yuri Oliveira Lima', 'Lucas Hernández', 'Jonathan Cafu', 'Rafael Gava', 'Élton Rodrigues Brandão', 'Clayson', 'João Pedro Pepê']])","dict_values([['Gabriel Batista', 'Rodrigo Caio', 'Willian Arão', 'Diego', 'Vitinho', 'Filipe Luís', 'Michael', 'Pedro', 'Bruno Henrique', 'Matheuzinho', 'João Gomes']])","dict_values([['João Carlos', 'Uillian Correia', 'Anderson Conceição', 'José Walber', 'Uendel', 'Auremir', 'Felipe Marques', 'Papagaio', 'Camilo', 'Osman Júnior', 'Guilherme Pato', 'Danilo']])","dict_values([['Hugo Souza', 'Gustavo Henrique', 'Léo Pereira', 'Renê', 'Thiago Maia', 'Hugo Moura', 'Rodinei', 'Bruno Viana', 'Max', 'Rodrigo Muniz', 'Werton', 'Ryan Luka']])","dict_values([('Lucas Ramon', 'Camilo')])",45,"dict_values([('Jonathan Cafu', 'Danilo')])",45,"dict_values([('Élton Rodrigues Brandão', 'Felipe Marques')])",60,"dict_values([('Rafael Gava', 'Uillian Correia')])",70,"dict_values([('Lucas Hernández', 'Papagaio')])",77,"dict_values([('João Gomes', 'Thiago Maia')])",56,"dict_values([('Diego', 'Hugo Moura')])",56,"dict_values([('Vitinho', 'Max')])",76,"dict_values([('Pedro', 'Rodrigo Muniz')])",76,"dict_values([('Bruno Henrique', 'Werton')])",89
76,dict_values(['América']),dict_values(['Vágner Mancini']),dict_values(['Santos']),dict_values(['Fernando Diniz']),dict_values(['2']),dict_values(['0']),"dict_values([['MG', 'Matheus Cavichioli', 'Eduardo', 'Eduardo Gabriel', 'Anderson Jesus', 'Zé Ricardo', 'João Paulo', 'Juninho', 'Marcelo Toscano', 'Ribamar', 'Felipe Azevedo']])","dict_values([['João Paulo', 'Luis Felipe', 'Felipe Jonatan', 'Marinho', 'Gabriel Pirani', 'Pará', 'Marcos Guilherme', 'Kaiky', 'Guilherme Camacho', 'Lucas Braga', 'Jean Mota']])","dict_values([['Banco', 'Jori', 'Lucas Kal', 'Ricardo Silva', 'Sabino', 'Alan Ruschel', 'Gustavinho', 'Bruno Nazário', 'Ale', 'Geovane', 'Juninho', 'Ramon', 'Carlos Alberto']])","dict_values([['Paulo Mazoti', 'Carlos Sánchez', 'Mádson', 'Ivonei', 'Vinicius', 'Danilo Boza', 'Vinicius Nelson', 'Robson', 'Ângelo Borges', 'Marcos Leonardo Almeida', 'Moraes', 'Lucas Venuto']])","dict_values([('Marcelo Toscano', 'Juninho')])",60,"dict_values([('Zé Ricardo', 'Ramon')])",72,"dict_values([('Felipe Azevedo', 'Alan Ruschel')])",72,"dict_values([('Rodolfo', 'Geovane')])",87,"dict_values([('Ribamar', 'Carlos Alberto')])",87,"dict_values([('Felipe Jonatan', 'Carlos Sánchez')])",60,"dict_values([('Gabriel Pirani', 'Moraes')])",73,"dict_values([('Pará', 'Mádson')])",73,"dict_values([('Luis Felipe', 'Ângelo Borges')])",83,dict_values([]),[]
77,dict_values(['Atl']),dict_values(['António Oliveira']),dict_values(['Fortaleza']),dict_values(['Juan Pablo Vojvoda']),dict_values(['2']),dict_values(['1']),"dict_values([['Santos', 'Marcinho', 'Nikão', 'Abner', 'Matheus Babi', 'Richard', 'Vitinho', 'Pedro Henrique', 'Thiago Heleno', 'David Terans', 'Christian']])","dict_values([['Felipe Alves Raymundo', 'Guilherme Tinga', 'Marcelo', 'Robson', 'Lucas Crispim', 'Osvaldo', 'Ronald', 'Felipe', 'Yago Pikachu', 'Titi', 'Matheus de Vargas']])","dict_values([['Anderson', 'Bento', 'Márcio Azevedo', 'Nicolas', 'Jádson', 'Khellven', 'Léo Cittadini', 'Erick', 'Zé Ivaldo', 'Fernando Canesin', 'Renato Kayser', 'Carlos Eduardo']])","dict_values([['Marcelo Boeck', 'Jackson de Souza', 'Carlinhos', 'Luiz Henrique', 'Éderson', 'David', 'Romarinho', 'Daniel Guedes', 'Bruno Melo', 'Igor Torres', 'Pablo']])","dict_values([('Nikão', 'Léo Cittadini')])",76,"dict_values([('David Terans', 'Erick')])",76,"dict_values([('Vitinho', 'Carlos Eduardo')])",80,"dict_values([('Christian', 'Zé Ivaldo')])",86,dict_values([]),[],"dict_values([('Ronald', 'Éderson')])",45,"dict_values([('Osvaldo', 'David')])",57,"dict_values([('Felipe', 'Luiz Henrique')])",57,"dict_values([('Robson', 'Igor Torres')])",68,"dict_values([('Matheus de Vargas', 'Romarinho')])",76
78,dict_values(['Corinthians']),dict_values(['Thiago Mendes']),dict_values(['Internacional']),dict_values(['Diego Aguirre']),dict_values(['1']),dict_values(['1']),"dict_values([['Cássio', 'Gil', 'Gustavo Mosquito', 'Mateus Vital', 'Fagner', 'Víctor Cantillo', 'Fábio Santos', 'Budiga', 'João Victor', 'Vitinho', 'Jô']])","dict_values([['Daniel', 'Edenílson', 'Yuri Alberto', 'Rodrigo Dourado', 'Víctor Cuesta', 'Paulo Victor', 'Renzo Saravia', 'Mauricio', 'Leonardo Borges', 'Pedro Henrique', 'Juan Cuesta']])","dict_values([['Matheus Donelli', 'Gabriel', 'Lucas Piton', 'Luan Vieira', 'Marquinhos', 'Ángelo Araos', 'Felipe Augusto', 'Adson', 'Raul Bicalho', 'Gabriel Pereira', 'Xavier', 'Luis Mandaca']])","dict_values([['Marcelo Lomba', 'Vitor Hugo', 'Lucas Ribeiro', 'Rodrigo Lindoso', 'Gabriel Boschilia', 'Vinicius Mello', 'Johnny Cardoso', 'Nonato', 'Lucas Ramos', 'Lucas Mazetti', 'Patrick']])","dict_values([('Budiga', 'Ángelo Araos')])",58,"dict_values([('Vitinho', 'Luan Vieira')])",70,"dict_values([('Gustavo Mosquito', 'Marquinhos')])",70,dict_values([]),[],dict_values([]),[],"dict_values([('Juan Cuesta', 'Patrick')])",45,"dict_values([('Leonardo Borges', 'Johnny Cardoso')])",45,"dict_values([('Yuri Alberto', 'Vinicius Mello')])",79,"dict_values([('Renzo Saravia', 'Lucas Ribeiro')])",80,"dict_values([('Mauricio', 'Gabriel Boschilia')])",88
79,dict_values(['Chapecoense']),dict_values(['Jair Ventura']),dict_values(['Bahia']),dict_values(['Dado Cavalcanti']),dict_values(['0']),dict_values(['2']),"dict_values([['João Paulo', 'Matheus Ribeiro', 'Anselmo Ramon', 'Fernandinho', 'Ravanelli', 'Anderson Leite', 'Felipe Santana', 'Ezequiel', 'Lima', 'Derlan', 'Kaio Nunes']])","dict_values([['Matheus Teixeira', 'Nino Paraíba', 'Luiz Otávio', 'Danielzinho', 'Rodriguinho Marinho', 'Thaciano', 'Thonny Anderson', 'Jonas', 'Maycon', 'Juninho', 'Matheus Bahia']])","dict_values([['Keiller', 'Laércio', 'Alan Santos', 'Foquinho', 'Ronei', 'Mike', 'Tiago Coser', 'Fabinho', 'Geuvânio', 'Pedro Perotti', 'Mancha', 'Felipe Silva']])","dict_values([['Mateus Claus', 'Ligger', 'Gilberto', 'Óscar Ruiz', 'Matheus Galdezani', 'Lucas Fonseca', 'Juninho Capixaba', 'Lucas Araujo', 'Edson', 'Renan Guedes', 'Patrick de Lucca']])","dict_values([('Ravanelli', 'Felipe Silva')])",45,"dict_values([('Kaio Nunes', 'Fabinho')])",45,"dict_values([('Ezequiel', 'Alan Santos')])",58,"dict_values([('Anselmo Ramon', 'Pedro Perotti')])",58,"dict_values([('Fernandinho', 'Geuvânio')])",79,"dict_values([('Thonny Anderson', 'Gilberto')])",63,"dict_values([('Jonas', 'Lucas Araujo')])",74,"dict_values([('Maycon', 'Óscar Ruiz')])",74,"dict_values([('Danielzinho', 'Matheus Galdezani')])",85,"dict_values([('Rodriguinho Marinho', 'Patrick de Lucca')])",85
80,dict_values(['Sport']),dict_values(['Umberto Lourenço Louzer Filho ']),dict_values(['Palmeiras']),dict_values(['Abel Ferreira']),dict_values(['0']),dict_values(['1']),"dict_values([['Mailson', 'Hayner', 'Neílton', 'Júnior Tavares', 'José Welison', 'Rafael Thyere', 'Thiago Neves', 'José Sabino', 'Everaldo', 'Marcão Silva', 'André']])","dict_values([['Jailson', 'Marcos Rocha', 'Renan', 'Zé Rafael', 'Luan Garcia', 'Gustavo Scarpa', 'Deyverson', 'Breno', 'Raphael Veiga', 'Danilo', 'Felipe Melo']])","dict_values([['Luan Polli', 'Ronaldo Henrique', 'Santiago Tréllez', 'Betinho', 'Thiago Lopes', 'Ricardinho', 'Gustavo', 'Chico', 'Victor Gabriel', 'Maxwell', 'Pedro Victor', 'Paulinho Moccelin']])","dict_values([['Vinicius Silvestre', 'Mateus Oliveira', 'Rony', 'Wesley', 'Danilo Barbosa', 'Lucas Lima', 'Gabriel Menino', 'Victor Luis', 'Willian', 'Michel']])","dict_values([('Everaldo', 'Santiago Tréllez')])",45,"dict_values([('Neílton', 'Paulinho Moccelin')])",55,"dict_values([('José Welison', 'Thiago Lopes')])",72,"dict_values([('André', 'Maxwell')])",80,dict_values([]),[],"dict_values([('Raphael Veiga', 'Rony')])",66,"dict_values([('Gustavo Scarpa', 'Danilo Barbosa')])",66,"dict_values([('Breno', 'Willian')])",67,"dict_values([('Zé Rafael', 'Gabriel Menino')])",77,"dict_values([('Deyverson', 'Victor Luis')])",82
